Actual,Predicted,XGB_Prob,AE_Error,Final_Score
0,0,4.6979294e-06,0.035986625,2.5707965
0,0,0.00010838845,0.27416924,1.665774
0,0,2.6485919e-05,1.4681492,1.0000001
0,0,8.330914e-06,0.045436915,0.3342262
0,0,5.314363e-06,0.1004617,1.0
0,0,5.6108906e-06,0.045964453,1.0
1,1,0.9562681,0.093965605,3.5894964
0,0,8.476702e-06,0.1432981,0.03735727
0,0,3.3389246e-05,0.090593666,1.0
0,0,0.00038263667,0.7012491,1.6657753
0,0,0.0005493477,0.6118021,0.33422637
1,1,0.99997044,2.0698776,4.007479
0,0,1.0754228e-05,0.5397828,-0.0038580894
0,0,8.939211e-06,0.029803786,1.0
1,1,0.9999958,1.5816294,4.0077286
0,0,5.1346005e-06,0.13766506,-0.0038810968
0,0,5.2026386e-05,0.088338345,1.0
0,0,4.6373602e-06,0.032935537,1.0
0,0,5.8248725e-06,0.041335113,1.0
0,0,3.591678e-05,0.1348815,1.0
0,0,1.364054e-05,0.18284468,1.0
0,0,9.7930606e-05,0.69817114,1.6657743
0,0,0.0005686382,0.13711394,0.33422583
0,0,0.00012639332,10.431124,1.6657847
0,0,5.63378e-06,0.025914183,0.3342238
0,0,5.6013632e-06,0.048383184,1.0
0,0,5.356192e-06,0.037216283,1.0
0,0,5.7781326e-06,0.028838681,1.0
0,0,5.173973e-06,0.051377714,1.0
0,0,5.2086184e-06,0.029746523,1.0
0,0,1.9087607e-05,0.1409079,1.0
0,0,1.581096e-05,0.14383285,1.0
0,0,5.311501e-06,0.03352682,1.0
0,0,5.0100457e-06,0.026567893,1.0
0,0,6.747363e-06,0.51027226,1.0
0,0,7.003137e-06,0.104753986,1.0
0,0,1.91293e-05,0.36849925,1.0
1,1,0.99958974,0.15775777,4.0037394
0,0,7.108892e-05,0.50602496,-0.0035129786
1,1,0.99999595,1.8756994,4.0077295
0,0,5.874125e-06,0.034215834,-0.0038810968
0,0,7.97812e-05,0.035641227,0.3342262
0,0,0.00044135956,0.11870743,0.33422607
0,0,4.534198e-06,0.53186977,1.6657739
1,1,0.99999654,1.7354761,4.0077357
0,0,9.662035e-06,0.2888968,-0.003881693
1,1,0.9999759,0.10803054,4.007533
0,0,0.00012460191,0.35556835,-0.003862977
0,0,3.0807605e-05,0.29782853,0.3342262
0,0,0.00025945617,0.08222248,0.3342262
0,0,5.4211696e-06,0.113040276,1.6657739
0,0,1.1227943e-05,0.17370377,1.0
0,0,4.546485e-05,0.13948785,1.0
0,0,2.7980346e-05,0.11737822,1.0
0,0,2.8550243e-05,0.48763978,1.0
0,0,1.2563236e-05,2.1309361,1.665774
1,1,0.9999831,0.85788953,4.007603
0,0,8.333855e-06,0.025130756,-0.0038695335
0,0,5.737083e-06,0.027854552,1.0
0,0,4.929743e-06,0.034438726,1.0
0,0,5.6013632e-06,0.03981076,1.0
0,0,0.0047931285,0.13408479,0.33419025
0,0,0.000115748575,0.08968974,1.6657951
1,1,0.99998295,0.8592868,4.007602
0,0,2.7519729e-05,0.123608336,-0.0038694143
0,0,6.729267e-06,0.025145363,1.0
0,0,0.00091090234,0.13185272,0.33422518
0,0,3.319323e-05,0.09518234,1.6657743
0,0,0.00012692848,0.14922568,1.0
0,0,1.3824445e-05,0.028673688,1.0
0,0,5.813029e-05,0.12848905,1.0
0,0,1.0537217e-05,0.035300415,1.0
0,0,5.308969e-06,0.041470256,1.0
0,0,5.1594225e-06,0.03259837,1.0
0,0,5.0669755e-06,0.0335961,1.0
0,0,2.0858422e-05,0.15869951,1.0
0,0,2.572043e-05,0.46341452,1.0
0,0,0.00011355833,0.5094821,1.6657743
0,0,5.681796e-06,0.08814151,0.33422613
0,0,8.493711e-06,0.4713787,1.0
0,0,5.1088596e-06,0.031950627,1.0
0,0,3.6664846e-05,0.45140982,1.665774
1,1,0.9999958,1.6414716,4.0077286
0,0,6.371833e-05,0.14032714,-0.0038810968
0,0,1.6540585e-05,0.26416895,1.0
0,0,1.2341163e-05,0.064356,1.0
1,1,0.9999629,0.09408426,4.0074053
0,0,6.650272e-05,0.13812375,-0.0038512945
0,0,5.0738613e-06,0.031036839,1.0
1,1,0.9999958,1.1956451,4.0077286
1,0,0.9997336,0.11403385,0.6675873
0,0,5.885025e-06,0.09493764,-0.0036435127
1,1,0.99998295,0.7871615,4.007602
0,0,5.2362357e-05,7.829277,-0.003868699
0,0,0.00014455715,0.12853889,0.33422548
0,0,0.0002817473,0.12289107,0.3342262
0,0,5.1930297e-06,0.04531788,1.6657739
0,0,8.258484e-05,0.26700443,1.0
1,1,0.99999464,1.8563821,4.007717
0,0,2.1074504e-05,0.1282482,-0.003880024
0,0,3.0390533e-05,0.4895835,1.0
0,0,2.0235515e-05,0.5457468,1.665774
0,0,2.449122e-05,0.14780779,0.3342262
1,1,0.9999789,0.78882873,4.0075626
0,0,4.3213054e-06,0.03220254,-0.0038657188
0,0,5.284485e-06,0.036395628,1.0
0,0,0.00020024608,0.12026299,1.0
1,1,0.9999753,1.0221128,4.0075274
0,0,4.3344742e-05,0.7335021,-0.0038625002
0,0,3.507739e-06,0.031844907,0.3342262
0,0,0.00026658765,0.15783533,1.0
0,0,6.7004075e-05,0.21385814,1.0
0,0,1.4081774e-05,0.2630481,1.0
0,0,4.750719e-06,0.037110444,1.0
0,0,1.5884863e-05,0.08328584,1.0
0,0,5.279035e-06,0.047984287,1.0
0,0,4.62289e-06,0.025064722,1.0
0,0,0.95157075,0.10251636,0.26036406
1,1,0.9992021,0.09170278,4.085579
0,0,3.95737e-05,0.14647269,-0.0031614304
0,0,1.0861265e-05,0.29094914,1.0
0,0,1.2283358e-05,0.44043452,1.0
1,1,0.99999523,3.6392968,4.007723
0,0,5.279035e-06,0.04618811,-0.0038805008
0,0,7.456007e-05,0.14958344,1.0
0,0,5.6653203e-06,0.054930296,1.0
0,0,4.2720574e-05,0.1264086,1.0
0,0,2.6010606e-05,0.18424483,1.0
0,0,1.0004758e-05,0.4901168,1.0
0,0,4.75381e-06,0.03706679,1.0
1,1,0.999979,1.2625054,4.0075636
0,0,2.0773856e-05,1.0719792,-0.003865838
0,0,6.1974265e-06,0.04061671,1.0
0,0,5.195269e-06,0.04496972,1.0
0,0,5.6013632e-06,0.04077999,1.0
0,0,0.00048432202,0.20419943,0.33422607
0,0,3.5784885e-06,0.035005886,1.6657739
0,0,6.768754e-06,0.663673,1.0
0,0,0.0003135764,0.07741937,0.33422613
1,1,0.9999914,1.8802271,4.007685
0,0,3.201376e-05,1.0748563,-0.0038770437
0,0,5.522838e-06,0.12197206,0.3342262
1,1,0.99997723,0.115948774,4.007546
0,0,1.2661261e-05,0.1604927,-0.0038641691
0,0,1.6454542e-05,0.09332243,1.0
0,0,0.00022830111,0.16915888,1.0
0,0,7.1288764e-06,0.13651177,1.0
0,0,2.8872973e-05,1.2828568,1.665774
0,0,9.957613e-06,0.024836285,0.3342262
0,0,4.4811648e-05,1.7633994,1.6657743
1,1,0.9926156,0.08225201,3.935528
0,0,2.7276245e-05,0.09343812,0.002851069
0,0,7.0943415e-06,0.027123436,1.0
0,0,6.0819243e-06,0.09824513,1.0
0,0,4.695865e-06,0.030400604,1.0
0,0,7.083431e-06,0.031429313,1.0
0,0,2.1384622e-05,0.1490256,1.0
0,0,2.6672044e-05,0.47111726,1.665774
0,0,1.4586677e-05,0.23557034,0.3342262
0,0,1.0327559e-05,0.5659641,1.0
1,1,0.9999943,1.5461046,4.0077133
1,0,0.9999844,1.1959851,0.6684123
0,0,4.288229e-05,0.13548183,-0.0038707256
0,0,7.406094e-06,0.07860373,1.0
0,0,0.00032248138,0.9385431,1.6657758
0,0,3.9971263e-05,0.094030604,0.33422577
0,0,8.173803e-06,0.026156899,1.0
0,0,0.00015184918,0.09063702,1.0
0,0,0.00050816813,0.14191358,0.33422595
0,0,7.447316e-05,0.0925114,1.6657739
1,1,0.9999963,1.8573248,4.0077333
0,0,2.5401208e-05,0.2654953,-0.0038814545
0,0,9.10024e-06,0.104752526,1.0
0,0,0.00036545098,0.10618716,0.33422613
0,0,1.4749344e-05,0.030183602,1.6657739
0,0,0.00015426523,0.259634,1.665774
0,0,3.4270517e-05,0.4659246,0.3342262
0,0,5.3297877e-06,0.03357629,1.0
0,0,6.9988573e-06,0.03074872,1.0
1,1,0.9999852,0.90790737,4.0076246
0,0,2.9258195e-05,1.0679874,-0.003871441
0,0,5.4696834e-06,0.04006261,0.3342262
1,1,0.99994564,0.21999538,4.0072355
0,0,8.388422e-05,0.10844958,-0.003835559
0,0,6.288469e-06,0.026673837,1.0
0,0,2.1447628e-05,0.11553461,1.0
0,0,1.1876663e-05,0.6121844,1.0
0,0,9.447664e-06,0.046481807,1.0
0,0,2.1423404e-05,0.25039107,1.0
0,0,8.0720936e-05,5.0356927,1.6657771
0,0,0.00025337902,2.133047,1.6657771
0,0,5.501165e-06,0.03609351,0.3342253
0,0,5.4370234e-06,0.064434335,1.0
0,0,6.1143637e-06,0.06995309,1.0
0,0,2.0630503e-05,0.2586895,1.0
1,1,0.9999372,0.21688263,4.0071526
0,0,9.670021e-05,0.12289768,-0.0038279295
0,0,2.8493856e-05,0.25560412,1.0
0,0,7.994104e-06,0.027741965,1.0
0,0,6.6079415e-06,0.05610019,1.0
0,0,5.204105e-06,0.033795115,1.0
0,0,1.83263e-05,0.74892193,1.665774
0,0,3.8717593e-05,13.719991,1.6657782
0,0,7.070749e-06,0.026521936,0.33422524
0,0,5.353649e-06,0.053414967,1.0
0,0,5.338853e-06,0.030381113,1.0
0,0,4.955683e-06,0.036573727,1.0
1,1,0.999995,2.237013,4.0077205
1,0,0.99998415,0.78339064,0.6684102
0,0,5.551814e-06,0.03423558,-0.0038704872
